"","word","freq","sentRes","color"
"1","art",2181,0.6,"#03590C6D"
"2","artist",1332,0.6,"#03590C6D"
"3","new",1261,0.8,"#03590C92"
"4","join",972,0.25,"#03590C2E"
"5","good",902,0.75,"#03590C89"
"6","love",816,0.75,"#03590C89"
"7","great",705,0.5,"#03590C5B"
"8","hope",621,0.5,"#03590C5B"
"9","like",570,0.5,"#03590C5B"
"10","best",559,0.5,"#03590C5B"
"11","work",547,0.25,"#03590C2E"
"12","thank",533,0.5,"#03590C5B"
"13","creator",475,0.6,"#03590C6D"
"14","discord",422,-0.75,"#B3050989"
"15","free",421,0.5,"#03590C5B"
"16","develop",356,0.1,"#03590C12"
"17","artwork",354,0.6,"#03590C6D"
"18","pleas",350,-0.4,"#B3050949"
"19","share",347,0.5,"#03590C5B"
"20","support",336,0.5,"#03590C5B"
"21","success",314,0.75,"#03590C89"
"22","interest",271,0.5,"#03590C5B"
"23","launch",246,-0.1,"#B3050912"
"24","win",245,0.5,"#03590C5B"
"25","big",241,0.25,"#03590C2E"
"26","friend",228,0.8,"#03590C92"
"27","luck",225,0.75,"#03590C89"
"28","better",214,0.8,"#03590C92"
"29","enthusiast",213,0.5,"#03590C5B"
"30","gem",213,0.5,"#03590C5B"
"31","music",207,0.6,"#03590C6D"
"32","cloud",201,-0.25,"#B305092E"
"33","lover",201,0.5,"#03590C5B"
"34","strong",194,0.5,"#03590C5B"
"35","nice",193,0.5,"#03590C5B"
"36","alert",189,-0.25,"#B305092E"
"37","monster",185,-0.5,"#B305095B"
"38","profession",178,0.25,"#03590C2E"
"39","reward",175,0.75,"#03590C89"
"40","unite",159,0.6,"#03590C6D"
"41","offer",157,0.1,"#03590C12"
"42","star",153,0.6,"#03590C6D"
"43","cool",145,0.75,"#03590C89"
"44","player",145,-0.1,"#B3050912"
"45","wait",143,-0.25,"#B305092E"
"46","build",136,0.1,"#03590C12"
"47","found",135,0.6,"#03590C6D"
"48","grow",127,0.8,"#03590C92"
"49","trend",126,0.4,"#03590C49"
"50","mafia",120,-0.8,"#B3050992"
"51","attract",120,0.8,"#03590C92"
"52","right",118,0.8,"#03590C92"
"53","enjoy",118,0.75,"#03590C89"
"54","real",117,0.25,"#03590C2E"
"55","dream",116,0.25,"#03590C2E"
"56","limit",114,-0.25,"#B305092E"
"57","burn",107,-0.4,"#B3050949"
"58","special",107,0.8,"#03590C92"
"59","money",103,0.6,"#03590C6D"
"60","passion",99,0.5,"#03590C5B"
"61","visit",98,0.4,"#03590C49"
"62","wish",96,0.8,"#03590C92"
"63","excel",95,0.75,"#03590C89"
"64","winner",94,0.75,"#03590C89"
"65","king",90,0.1,"#03590C12"
"66","founder",90,0.4,"#03590C49"
"67","well",90,0.8,"#03590C92"
"68","global",89,0.4,"#03590C49"
"69","clear",88,0.5,"#03590C5B"
"70","fun",86,0.75,"#03590C89"
"71","partner",85,0.8,"#03590C92"
"72","true",81,0.5,"#03590C5B"
"73","hero",79,0.75,"#03590C89"
"74","gain",79,0.75,"#03590C89"
"75","main",78,0.4,"#03590C49"
"76","wealth",78,0.5,"#03590C5B"
"77","learn",78,0.8,"#03590C92"
"78","gang",76,-0.8,"#B3050992"
"79","award",76,0.75,"#03590C89"
"80","save",76,0.5,"#03590C5B"
"81","content",75,0.6,"#03590C6D"
"82","smart",75,0.5,"#03590C5B"
"83","wild",73,-0.25,"#B305092E"
"84","🗥🗥n🇥wish",73,0.8,"#03590C92"
"85","gift",72,0.5,"#03590C5B"
"86","hard",71,-0.25,"#B305092E"
